日付,未登録,登録済み,表示回数
2025-11-29,,,57
2025-11-30,,,41
2025-12-01,,,52
2025-12-02,,,35
2025-12-03,,,47
2025-12-04,,,55
2025-12-05,,,50
2025-12-06,,,61
2025-12-07,,,40
2025-12-08,,,34
2025-12-09,,,37
2025-12-10,,,33
2025-12-11,,,38
2025-12-12,,,56
2025-12-13,,,72
2025-12-14,,,37
2025-12-15,26557,7029,49
2025-12-16,27323,6270,36
2025-12-17,27323,6270,42
2025-12-18,27323,6270,62
2025-12-19,27323,6270,74
2025-12-20,27323,6270,122
2025-12-21,27323,6270,74
2025-12-22,27323,6270,70
2025-12-23,27323,6270,69
2025-12-24,28053,5864,79
2025-12-25,28053,5864,103
2025-12-26,28053,5864,131
2025-12-27,28053,5864,210
2025-12-28,28053,5864,114
2025-12-29,28053,5864,55
2025-12-30,28053,5864,61
2025-12-31,28053,5864,47
2026-01-01,28053,5864,50
2026-01-02,28053,5864,74
2026-01-03,28053,5864,113
2026-01-04,27740,5806,82
2026-01-05,27740,5806,60
2026-01-06,27740,5806,79
2026-01-07,27833,5715,44
2026-01-08,27833,5715,70
2026-01-09,27833,5715,135
2026-01-10,27833,5715,153
2026-01-11,27884,5664,98
2026-01-12,27884,5664,74
2026-01-13,27884,5664,88
2026-01-14,27916,5632,39
2026-01-15,27916,5632,42
2026-01-16,27916,5632,64
2026-01-17,27916,5632,78
2026-01-18,27917,5631,73
2026-01-19,27917,5631,72
2026-01-20,27917,5631,42
2026-01-21,27924,5625,43
2026-01-22,27924,5625,67
2026-01-23,27924,5625,89
2026-01-24,27924,5625,155
2026-01-25,27943,5606,58
2026-01-26,27943,5606,57
2026-01-27,27943,5606,46
2026-01-28,27962,5588,77
2026-01-29,27962,5588,59
2026-01-30,27962,5588,105
2026-01-31,27962,5588,82
2026-02-01,27965,5585,66
2026-02-02,27965,5585,62
2026-02-03,27965,5585,53
2026-02-04,28039,5511,50
2026-02-05,28039,5511,62
2026-02-06,28039,5511,71
2026-02-07,28039,5511,94
2026-02-08,28091,5459,50
2026-02-09,28091,5459,71
2026-02-10,28091,5459,55
2026-02-11,28114,5441,50
2026-02-12,28114,5441,46
2026-02-13,28114,5441,97
2026-02-14,28114,5441,118
2026-02-15,28135,5421,75
2026-02-16,28135,5421,70
2026-02-17,28135,5421,129
2026-02-18,28425,5162,60
2026-02-19,28425,5162,84
2026-02-20,28425,5162,170
2026-02-21,28425,5162,260
2026-02-22,28444,5113,100
2026-02-23,28444,5113,98
2026-02-24,28444,5113,99
