# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: Default Account for Firebase
# プロパティ: fir-demo-1-ba0ef
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260515
# 終了日: 20260611
ページパスとスクリーン クラス,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,合計収益
/,1479,420,3.5214285714285714,23.488095238095237,8271,0,0.956159
/races/2026-06-09/mizusawa/1,19,8,2.375,33.75,230,0,0.164997
/articles/2026-05-24-2026-ai-8a51ae64,206,173,1.1907514450867052,37.83815028901734,1283,0,0.161593
/races/2026-05-25/nagoya/1,37,26,1.4230769230769231,12.884615384615385,397,0,0.110719
/races/2026-06-10/sonoda/1,33,22,1.5,12.227272727272727,405,0,0.099878
/races/2026-06-09/ohi/1,48,26,1.8461538461538463,25.346153846153847,559,0,0.071003
/races/2026-05-23/kyoto/11,44,23,1.9130434782608696,34.73913043478261,462,0,0.060158
/articles/2026-05-31-2026-ai-6c2de93f,45,33,1.3636363636363635,41.27272727272727,251,0,0.058006
/races/2026-06-10,198,50,3.96,44.32,1030,0,0.053565
/races/2026-05-28/monbetsu/6,20,3,6.666666666666667,53.333333333333336,190,0,0.049178
/races/2026-06-05,145,48,3.0208333333333335,41.416666666666664,866,0,0.048896
/races/2026-05-30/kyoto/1,45,16,2.8125,13.0625,490,0,0.047088
/races/2026-05-17,577,60,9.616666666666667,82.91666666666667,2427,0,0.047069
/races/2026-06-07/tokyo/11,87,53,1.6415094339622642,60.264150943396224,781,0,0.044048
/races/2026-05-22/nagoya/1,17,8,2.125,29.5,183,0,0.04284
/races/2026-06-07,335,83,4.036144578313253,66.21686746987952,1777,0,0.039763
/races/2026-06-02,176,35,5.0285714285714285,56.77142857142857,891,0,0.038214
/races/2026-06-04,131,38,3.4473684210526314,25.36842105263158,729,0,0.03377
/races/2026-05-26,146,45,3.2444444444444445,30.77777777777778,756,0,0.033195
/races/2026-05-21,241,30,8.033333333333333,64.36666666666666,1607,0,0.032266
/races/2026-05-25,139,44,3.159090909090909,27.40909090909091,714,0,0.031577
/races/2026-06-03,118,33,3.5757575757575757,19.242424242424242,661,0,0.031208
/races/2026-05-31,267,63,4.238095238095238,36.17460317460318,1292,0,0.030313
/races/2026-06-10/kasamatsu/12,9,5,1.8,5.6,97,0,0.029321
/articles/2026-05-21-2026-ai-22f493f9,55,49,1.1224489795918366,29.142857142857142,336,0,0.028904
/articles/2026-05-24-2026-ai-98ffdbb1,43,42,1.0238095238095237,20.142857142857142,269,0,0.028595
/races/2026-06-11,118,38,3.1052631578947367,18.526315789473685,591,0,0.027899
/races/2026-05-22/ohi/1,5,4,1.25,13.75,70,0,0.026752
/articles,135,46,2.9347826086956523,39.32608695652174,516,0,0.026604
/articles/2026-06-07-hakodatess2026-ai,15,13,1.1538461538461537,57.46153846153846,120,0,0.026107
/races/2026-05-24,257,59,4.3559322033898304,80.66101694915254,1181,0,0.026037
/races/2026-05-26/monbetsu/10,15,8,1.875,23.5,171,0,0.025612
/races/2026-05-16,333,43,7.744186046511628,70.83720930232558,1189,0,0.025258
/about-ai,39,28,1.3928571428571428,39.75,212,0,0.025157
/races/2026-06-01,131,35,3.742857142857143,39.114285714285714,758,0,0.025098
/races/2026-05-15,231,24,9.625,69.20833333333333,771,0,0.024539
/races/2026-06-06,2344,59,39.728813559322035,82.05084745762711,3289,0,0.023806
/races/2026-05-30,168,44,3.8181818181818183,77.25,756,0,0.023502
/races/2026-06-02/funabashi/9,11,8,1.375,33.25,151,0,0.022291
/races/2026-06-07/tokyo/12,32,26,1.2307692307692308,18.96153846153846,371,0,0.020898
/races/2026-05-20,162,29,5.586206896551724,64.79310344827586,1044,0,0.020836
/races/2026-06-07/kochi/7,16,10,1.6,4.1,188,0,0.020504
/races/2026-05-23/niigata/12,17,11,1.5454545454545454,11,168,0,0.020421
/articles/2026-05-14-niigata2026-ai,34,30,1.1333333333333333,26.733333333333334,309,0,0.019846
/races/2026-05-27/sonoda/1,28,8,3.5,29.5,300,0,0.018225
/races/2026-06-07/tokyo/4,32,22,1.4545454545454546,23.636363636363637,351,0,0.017984
/races/2026-05-19,305,35,8.714285714285714,72.57142857142857,1843,0,0.017557
/races/2026-06-04/nagoya/5,18,11,1.6363636363636365,3.6363636363636362,173,0,0.017311
/races/2026-06-05/nagoya/1,31,17,1.8235294117647058,19.823529411764707,369,0,0.016961
/races/2026-05-31/tokyo/12,47,34,1.3823529411764706,24.91176470588235,467,0,0.016117
/races/2026-06-04/funabashi/9,34,22,1.5454545454545454,16.5,346,0,0.015745
/articles/2025-11-11-weight-change-impact-analysis,30,26,1.1538461538461537,27.03846153846154,165,0,0.015518
/races/2026-05-18,247,31,7.967741935483871,76.70967741935483,1223,0,0.015472
/races/2026-05-31/tokyo/11,91,57,1.5964912280701755,59.45614035087719,896,0,0.015428
/races/2026-05-24/tokyo/11,66,41,1.6097560975609757,49.65853658536585,593,0,0.015136
/articles/2025-10-26-ground-condition-impact,13,12,1.0833333333333333,76.83333333333333,87,0,0.014832
/races/2026-05-26/urawa/1,32,14,2.2857142857142856,17.928571428571427,372,0,0.014547
/jockeys,106,49,2.163265306122449,61.36734693877551,379,0,0.014347
/races/2026-05-09/kyoto/11,4,2,2,10,37,0,0.013565
/races/2026-06-02/nagoya/1,19,9,2.111111111111111,5.777777777777778,205,0,0.012065
/races/2026-05-30/kyoto/11,42,30,1.4,45.53333333333333,412,0,0.012015
/races/2026-05-19/nagoya/7,1,1,1,5,18,0,0.011771
/races/2026-05-29/sonoda/1,22,9,2.4444444444444446,32.44444444444444,248,0,0.011083
/races/2026-06-06/tokyo/3,21,17,1.2352941176470589,10.941176470588236,208,0,0.011019
/races/2026-06-06/tokyo/9,40,27,1.4814814814814814,9.333333333333334,377,0,0.010549
/races/2026-06-09,257,53,4.849056603773585,109.22641509433963,1235,0,0.010437
/races/2026-05-30/kyoto/3,21,12,1.75,24.583333333333332,241,0,0.009869
/races/2026-06-08/ohi/1,21,15,1.4,11.733333333333333,183,0,0.009838
/articles/2025-11-13-odds-reading-guide,14,14,1,46.92857142857143,63,0,0.00981
/races/2026-06-09/ohi/2,31,17,1.8235294117647058,23.823529411764707,344,0,0.00978
/about,9,7,1.2857142857142858,29.428571428571427,16,0,0.0096
/articles/2025-10-26-ticket-types-complete-explanation,11,10,1.1,39.6,70,0,0.009582
/races/2026-05-28,103,41,2.5121951219512195,14.560975609756097,490,0,0.009159
/races/2026-05-26/morioka/12,8,5,1.6,12.4,103,0,0.009023
/articles/2025-11-08-popularity-hit-rate-analysis,16,16,1,37.875,111,0,0.008227
/races/2026-06-11/sonoda/1,13,10,1.3,3.7,149,0,0.008108
/races/2026-05-27/urawa/11,24,10,2.4,30.7,249,0,0.007744
/races/2026-06-01/saga/1,8,6,1.3333333333333333,4.166666666666667,89,0,0.007737
/races/2026-06-07/hanshin/7,17,10,1.7,64.4,201,0,0.007335
/races/2026-05-26/urawa/2,17,6,2.8333333333333335,123,176,0,0.007182
/articles/2026-05-21-s2026-ai-e09b5d0d,13,12,1.0833333333333333,52.166666666666664,74,0,0.007121
/races/2026-06-09/mizusawa/6,6,4,1.5,8,83,0,0.006969
/races/2026-06-11/ohi/3,10,6,1.6666666666666667,15.666666666666666,129,0,0.006942
/races/2026-05-29/kasamatsu/1,7,4,1.75,33.25,94,0,0.006761
/races/2026-06-09/ohi/12,33,22,1.5,23,345,0,0.006512
/races/2026-05-24/niigata/3,17,7,2.4285714285714284,11.857142857142858,180,0,0.006378
/races/2026-06-09/kanazawa/1,10,7,1.4285714285714286,9.571428571428571,141,0,0.006376
/races/2026-06-06/tokyo/2,41,24,1.7083333333333333,75.79166666666667,409,0,0.006304
/articles/2025-10-06-christophe-lemaire-data-analysis,14,13,1.0769230769230769,29.384615384615383,66,0,0.00597
/races/2026-05-29,122,42,2.9047619047619047,20.714285714285715,588,0,0.005955
/races/2026-05-31/kyoto/5,8,5,1.6,13.4,76,0,0.005865
/races/2026-05-23/tokyo/3,15,7,2.142857142857143,22.142857142857142,180,0,0.005801
/faq,14,14,1,54.42857142857143,86,0,0.005732
/races/2026-05-30/kyoto/12,28,14,2,32.714285714285715,325,0,0.005553
/races/2026-06-10/ohi/12,20,14,1.4285714285714286,69.07142857142857,194,0,0.005535
/races/2026-05-31/mizusawa/4,13,8,1.625,27,152,0,0.005479
/grade-races/2026-yasuda-kinen,6,3,2,19.333333333333332,16,0,0.005287
